CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
,28,0.201996543383104,72,0.252997396767616,28,0.205495549348892,72,0.250423299820696,28,0.202618090611934,72,0.256047318652545,28,0.179970000720696,72,0.2322764555774,28,0.184228141003008,72,0.237546259596962,28,0.188071645036709,72,0.237693401248364,28,0.192417026314291,72,0.244305270482439,28,0.197070759526119,72,0.250973165973832,28,0.202139115513193,72,0.256601916997667,28,0.212061113650414,72,0.264046502013304,28,0.216448265691835,72,0.269828141743496,28,0.221029872538294,72,0.275297901873161,28,0.0237497422935432,72,0.0235473311932084,28,0.0235583874152034,72,0.0234342595825419,28,0.0234610454210601,72,0.0231343128677193,28,0.00373583718343874,72,0.0036408578920113,28,0.00365565945986538,72,0.00359946834678986,28,0.00363418973407602,72,0.00336524548543316,28,0.00506481868881955,72,0.0046030045926755,28,0.00492431519326595,72,0.00453289896575067,28,0.00480764393844118,72,0.00420457256835058,28,0.0242759365416938,72,0.0240920142596743,28,0.0241059104599711,72,0.0240174103015485,28,0.0240110542161446,72,0.0237073360224231
,27.5,0.2015906084262,72.5,0.253148844446946,27.5,0.205216567764339,72.5,0.250145858239055,27.5,0.202412952092753,72.5,0.256126944114348,27.5,0.179838873195339,72.5,0.232338239980022,27.5,0.184110636880661,72.5,0.237648689512875,27.5,0.18795494154415,72.5,0.237740120910041,27.5,0.19235239566285,72.5,0.244367098569262,27.5,0.197003274739307,72.5,0.251082107253671,27.5,0.202063165884691,72.5,0.256637558876736,27.5,0.211963298768396,72.5,0.264187048581106,27.5,0.216382539064636,72.5,0.269911393388276,27.5,0.22096692813777,72.5,0.275321657033613,27.5,0.0237381596223771,72.5,0.0235545236890262,27.5,0.0235545663727141,72.5,0.0234261531531518,27.5,0.0234560310106697,72.5,0.0232805406361477,27.5,0.00372926629393364,72.5,0.00364345624497817,27.5,0.00365725096158198,72.5,0.00359742870906716,27.5,0.00363111746452288,72.5,0.00353804165933662,27.5,0.00505924722238542,72.5,0.0046178062061389,27.5,0.00492799804649917,72.5,0.0045212506293239,27.5,0.00480556104678039,72.5,0.00437375699493121,27.5,0.0242592094478666,72.5,0.0240954164512786,27.5,0.0241016073408776,72.5,0.024009736697854,27.5,0.0240114136259041,72.5,0.0238960804099184
,27,0.201267082956276,73,0.253276283419277,27,0.204983647994587,73,0.250123710988861,27,0.202240906384052,73,0.256218382164846,27,0.179727709098586,73,0.232416325381628,27,0.183989892412523,73,0.237753025000305,27,0.187836864727546,73,0.237721729757724,27,0.192295890536871,73,0.244424812948734,27,0.196931478697225,73,0.251192256368688,27,0.201988510985891,73,0.256821551241423,27,0.211880974647468,73,0.264299910165924,27,0.216314603868595,73,0.270027179589514,27,0.220894257644654,73,0.27559022580305,27,0.0237366157016727,73,0.0235520590708768,27,0.0235531134312725,73,0.0234393084825817,27,0.023452966953913,73,0.02333601361489,27,0.00372695444813135,73,0.00364731584525676,27,0.00366294391036343,73,0.00359960453336278,27,0.00362417545252372,73,0.00358083040368741,27,0.00505823600772456,73,0.00461017583436231,27,0.00493294797958861,73,0.00452826367876186,27,0.00480313731159798,73,0.00441463001418089,27,0.0242464820217988,73,0.0240970813181664,27,0.0241062213561087,73,0.0240248258276545,27,0.0240108622083995,73,0.0239310180863953
,26.5,0.200946393727054,73.5,0.253321630546748,26.5,0.204745758283965,73.5,0.250235687203558,26.5,0.202052879172628,73.5,0.256275373287097,26.5,0.179596635608024,73.5,0.232479215773643,26.5,0.183849212605124,73.5,0.237854249832276,26.5,0.187695336343851,73.5,0.237728386050542,26.5,0.192212362475756,73.5,0.244675206182318,26.5,0.196851284752605,73.5,0.251306779510774,26.5,0.201924831091993,73.5,0.257046142675162,26.5,0.211808291990313,73.5,0.264452487048235,26.5,0.216241230022679,73.5,0.270158151539662,26.5,0.220832433030911,73.5,0.275656177859445,26.5,0.0237474060393227,73.5,0.0235521368403197,26.5,0.0235491019864664,73.5,0.0234311283027704,26.5,0.0234570044629951,73.5,0.0233325830372536,26.5,0.00373646101999234,73.5,0.00364101438131163,26.5,0.00366023300451034,73.5,0.00359754440439316,26.5,0.00362086997214182,73.5,0.00357917970096989,26.5,0.00506320389170128,73.5,0.00460659538884509,26.5,0.00492127086078017,73.5,0.00451754692976846,26.5,0.00482725216850276,73.5,0.00441629157963643,26.5,0.0242482968707057,73.5,0.0240962221556705,26.5,0.0241014348030528,73.5,0.024015042909888,26.5,0.0240162142001477,73.5,0.0239321738383143
,26,0.200554277664342,74,0.253380671379986,26,0.204487441130033,74,0.25046605551265,26,0.20185833663558,74,0.256334498353934,26,0.179467974259294,74,0.232558404501573,26,0.183721750138316,74,0.237966161050089,26,0.18758408784432,74,0.237764577586748,26,0.192124181863397,74,0.244821754142311,26,0.196792124028497,74,0.251421540990311,26,0.201834958332246,74,0.257217267095007,26,0.211737174286142,74,0.265026613941547,26,0.216169912311933,74,0.270279701822607,26,0.220779195422387,74,0.275716655028728,26,0.0237556015899329,74,0.0235480762172705,26,0.023553925644732,74,0.0234326406577849,26,0.023450906048749,74,0.0233343804087032,26,0.00373689592288471,74,0.00364232693791474,26,0.00365435041927613,74,0.00360521240694138,26,0.00362314757609833,74,0.00358009835362921,26,0.00507153125728545,74,0.00460504654619721,26,0.00492540918099302,74,0.00453050491018975,26,0.00481850805404202,74,0.00441680426234406,26,0.0242550562896085,74,0.0240922469727565,26,0.0241053568335869,74,0.0240216916110334,26,0.0240205910275528,74,0.0239290227388866
,25.5,0.200207716279918,74.5,0.253405837405666,25.5,0.204265298728635,74.5,0.250771895390013,25.5,0.201717758937547,74.5,0.256427318378077,25.5,0.179334555608347,74.5,0.232613695197005,25.5,0.18358917196045,74.5,0.238032595044863,25.5,0.187473790683233,74.5,0.237780699335726,25.5,0.192057289561177,74.5,0.24494496714609,25.5,0.196727322983987,74.5,0.251510028414385,25.5,0.201766123382585,74.5,0.257334915638955,25.5,0.211678610300656,74.5,0.264973713560953,25.5,0.216104570556534,74.5,0.270430390904784,25.5,0.220675952222081,74.5,0.275807747237088,25.5,0.0237303834828536,74.5,0.023559965688422,25.5,0.0235395257033359,74.5,0.0234384032342988,25.5,0.0234500860337957,74.5,0.023327429253719,25.5,0.00371209241047033,74.5,0.00364770296319649,25.5,0.00364939448636344,74.5,0.00361062674412656,25.5,0.00361874646831264,74.5,0.0035808691438972,25.5,0.0050620552304577,74.5,0.00462392184788594,25.5,0.00492119992672632,74.5,0.00453052775140947,25.5,0.00482008141547219,74.5,0.0044072450659588,25.5,0.0242575634345115,74.5,0.0241014091796953,25.5,0.0241020518299774,74.5,0.0240205906769355,25.5,0.0240094443976788,74.5,0.023923765900791
,25,0.19992479525179,75,0.25342196941498,25,0.204050227536627,75,0.251076627288342,25,0.201550221532463,75,0.256509594097232,25,0.179206134809109,75,0.232674837582148,25,0.183473614644632,75,0.2381684545847,25,0.187353029399471,75,0.237782938817165,25,0.191999614979418,75,0.24509037320184,25,0.196610200574811,75,0.251547850869676,25,0.20166559148497,75,0.257390965243832,25,0.211599736191477,75,0.265065316461153,25,0.216015964152314,75,0.270572421854587,25,0.220594953673954,75,0.275903617451097,25,0.0237404202370303,75,0.0235555585920642,25,0.0235477121414777,75,0.0234366992892004,25,0.0234564800432597,75,0.0233301601451358,25,0.00371380001596332,75,0.00364472950156399,25,0.00363912396134317,75,0.00360311782141816,25,0.0036169231542847,75,0.00358091403640293,25,0.00505849306882036,75,0.00461147305559352,25,0.00492092626320929,75,0.00452156282705701,25,0.00482091316009866,75,0.00441989267427001,25,0.0242532748350103,75,0.0241021581893028,25,0.0241015458897899,75,0.0240183095555008,25,0.0240172805825603,75,0.0239319545575488
,24.5,0.199635298273356,75.5,0.253464264671506,24.5,0.203832909673526,75.5,0.251363650529248,24.5,0.201370594243605,75.5,0.256583205214954,24.5,0.179030867458399,75.5,0.232743027622154,24.5,0.183342548671049,75.5,0.238225537219707,24.5,0.187197524628744,75.5,0.237723591688503,24.5,0.191933507614993,75.5,0.245249714085109,24.5,0.196529924037583,75.5,0.251588330903789,24.5,0.201563346515009,75.5,0.25738602230432,24.5,0.211513518610338,75.5,0.26515531204614,24.5,0.215936707878573,75.5,0.270711989166594,24.5,0.220513262552876,75.5,0.276023916074423,24.5,0.0237649129657179,75.5,0.0235596542619705,24.5,0.0235511027790405,75.5,0.0234334824993747,24.5,0.0234609742775389,75.5,0.0233333544308496,24.5,0.0037023182800034,75.5,0.00364994127439883,24.5,0.00365156744260165,75.5,0.00361044465570808,24.5,0.00361526175244832,75.5,0.00358577734157287,24.5,0.00506441105976725,75.5,0.00462416917691539,24.5,0.00492460286962717,75.5,0.0045170874557504,24.5,0.00481857291688081,75.5,0.00442274757287551,24.5,0.024254324978796,75.5,0.024099257673162,24.5,0.0241092972296393,75.5,0.0240195157566258,24.5,0.0240181850602663,75.5,0.0239338415409607
,24,0.199212051369208,76,0.253532799784034,24,0.203615501082834,76,0.251663986225849,24,0.201211445723304,76,0.25666864492035,24,0.178907581719362,76,0.232806424805835,24,0.183209767820238,76,0.238271371028155,24,0.187081200857105,76,0.237603269698551,24,0.191815050970748,76,0.245367297680375,24,0.196450821573846,76,0.251615310827937,24,0.201467409927879,76,0.257381233801363,24,0.211431816119663,76,0.265269857131689,24,0.215874181937261,76,0.270865751146452,24,0.220436845792512,76,0.276130252693521,24,0.023733132401274,76,0.0235590773315746,24,0.0235579207236567,76,0.0234363227045577,24,0.0234528680908039,76,0.023338868582955,24,0.0036838398269268,76,0.00365246360761969,24,0.00364013368484721,76,0.00360577675346467,24,0.00361035355364143,76,0.00358256405224562,24,0.00506522789821633,76,0.00462417253710066,24,0.00493515872996045,76,0.00453061410699146,24,0.0048387397439138,76,0.0044021972742095,24,0.0242588887031593,76,0.0240990066780438,24,0.0241208976711544,76,0.0240282854822553,24,0.024024278065929,76,0.0239341084821144
,23.5,0.198911153999175,76.5,0.25361816407273,23.5,0.203432280342844,76.5,0.251881027361259,23.5,0.201069546626188,76.5,0.256774650867708,23.5,0.178761574126817,76.5,0.232891354262448,23.5,0.18308064371459,76.5,0.238344629426311,23.5,0.186950320795121,76.5,0.237427301436987,23.5,0.191724217013576,76.5,0.245416552757827,23.5,0.196369843037711,76.5,0.251604376979254,23.5,0.201375984899706,76.5,0.257416659864096,23.5,0.211378015309943,76.5,0.265419881352946,23.5,0.215795146569277,76.5,0.271000854918125,23.5,0.22035707866965,76.5,0.276250041026525,23.5,0.0237196272726624,76.5,0.0235560693408755,23.5,0.0235477959184535,76.5,0.0234396724093749,23.5,0.0234502898256189,76.5,0.0233504913163789,23.5,0.0036699698248367,76.5,0.00365044002015113,23.5,0.00361975453580526,76.5,0.00361112858566668,23.5,0.00359301603815446,76.5,0.00358575283928755,23.5,0.00505978486439883,76.5,0.00461830357380494,23.5,0.0049287992266883,76.5,0.00452721867478471,23.5,0.00481409856650167,76.5,0.00441324352113675,23.5,0.0242645751172708,76.5,0.0240964596970014,23.5,0.0241089646991972,76.5,0.0240208060642298,23.5,0.0240113500688741,76.5,0.0239429105219401
,23,0.198661276823978,77,0.253729637632547,23,0.203256353724451,77,0.252031154526758,23,0.200934034511742,77,0.25685294950011,23,0.178627311848533,77,0.232962216255328,23,0.182968846549854,77,0.238413634568826,23,0.186829751744082,77,0.237250249272985,23,0.191646148194687,77,0.245447251839809,23,0.19627355753741,77,0.251608490334256,23,0.201301723768504,77,0.257488859890289,23,0.211308687434403,77,0.265555999980566,23,0.215720205055542,77,0.271118283793942,23,0.220278508471617,77,0.276545941947548,23,0.0237265822357385,77,0.0235560060980577,23,0.0235433601457411,77,0.0234313097800442,23,0.0234470121246782,77,0.0233386851382316,23,0.00364726896750528,77,0.00364356579332128,23,0.00362648632748012,77,0.00360365853437866,23,0.00359363015317776,77,0.00357952447827946,23,0.00506261867670072,77,0.00462025223699095,23,0.00492256957239339,77,0.00451613363279464,23,0.00482438159626475,77,0.00440092709401247,23,0.024265413781944,77,0.024099224867,23,0.0241142138713198,77,0.0240182615404173,23,0.0240194993827776,77,0.0239308865262699
,22.5,0.198407682246882,77.5,0.253821334680015,22.5,0.203099160744967,77.5,0.252206734418729,22.5,0.200823245890708,77.5,0.256967570081993,22.5,0.178500289697571,77.5,0.233077188444685,22.5,0.182832094180357,77.5,0.238464016355197,22.5,0.186698969053389,77.5,0.237065204676709,22.5,0.191529682755742,77.5,0.245491052339677,22.5,0.196196309030392,77.5,0.251649017402804,22.5,0.201216046821743,77.5,0.257617023404206,22.5,0.211252422804786,77.5,0.265680302714011,22.5,0.215645702164603,77.5,0.271222432897811,22.5,0.220210091807583,77.5,0.276670799485956,22.5,0.0237158715193862,77.5,0.0235610660045993,22.5,0.0235351238141745,77.5,0.0234387477754608,22.5,0.0234491531780064,77.5,0.0233438369299021,22.5,0.0036136045510888,77.5,0.00365031966731396,22.5,0.00360780239983464,77.5,0.00362064340125862,22.5,0.00358028281314527,77.5,0.00359156069004569,22.5,0.00504575966316852,77.5,0.00462951236627414,22.5,0.00492474437046316,77.5,0.00452196676764787,22.5,0.00481691045466704,77.5,0.00440273102153734,22.5,0.0242596298203046,77.5,0.0241039385771251,22.5,0.0241121043754877,77.5,0.0240193950284517,22.5,0.0240168037788027,77.5,0.0239369051277372
,22,0.198198007854139,78,0.253886889009561,22,0.202946887712395,78,0.252384797092979,22,0.200695494204966,78,0.257211096409439,22,0.178381933393738,78,0.233191776763867,22,0.182713231742649,78,0.238490081367888,22,0.186576759869111,78,0.236889496708937,22,0.191452695578726,78,0.245522643323669,22,0.196104172503456,78,0.25180235594533,22,0.201129380220031,78,0.257780896566536,22,0.211193091825218,78,0.265768356418825,22,0.21557754959787,78,0.271337723263829,22,0.220148734237487,78,0.27678931753113,22,0.0237144182448608,78,0.0235670964952552,22,0.0235262231625994,78,0.0234437744868959,22,0.0234483597892773,78,0.0233525722825585,22,0.00358722538019185,78,0.00364941271218354,22,0.00358047356965916,78,0.00361179430835975,22,0.0035652187095136,78,0.00358820395213635,22,0.00504062646771049,78,0.00463390976845663,22,0.00491300125314174,78,0.00452469901163633,22,0.00481083652593969,78,0.00441115647753688,22,0.0242591238177424,78,0.0241098886131525,22,0.0241039965767468,78,0.0240274009762275,22,0.0240161895252703,78,0.0239466964358316
,21.5,0.197984030085001,78.5,0.254015373676795,21.5,0.202808989872704,78.5,0.252570974804601,21.5,0.200586439503977,78.5,0.257511305447731,21.5,0.178282319991284,78.5,0.233338567896029,21.5,0.182596023097613,78.5,0.238477779305334,21.5,0.186468034429406,78.5,0.236708286000175,21.5,0.191388567611509,78.5,0.245586225110367,21.5,0.196033878287781,78.5,0.25201298805726,21.5,0.201050470822763,78.5,0.257926701414791,21.5,0.211118335623019,78.5,0.265871779854343,21.5,0.215525977645188,78.5,0.271443698296511,21.5,0.220084261679314,78.5,0.276951958003304,21.5,0.0237163606092002,78.5,0.0235679757967764,21.5,0.0235175548070994,78.5,0.0234450550042746,21.5,0.023433748610102,78.5,0.0233465317034219,21.5,0.00357296413370002,78.5,0.00364541746238207,21.5,0.00355366956735252,78.5,0.00361318020865769,21.5,0.00354348170001593,78.5,0.0035893401510754,21.5,0.00505273723061048,78.5,0.00462568753331562,21.5,0.00491280681860838,78.5,0.00452694042695722,21.5,0.0048017390569459,78.5,0.00440358943883562,21.5,0.0242670019498976,78.5,0.0241007616234337,21.5,0.0241018807539625,78.5,0.0240224973486206,21.5,0.0240163144881756,78.5,0.0239292646146995
,21,0.197804044013512,79,0.254186489130664,21,0.202680648222597,79,0.25275380910497,21,0.200471467455002,79,0.257756917896421,21,0.178170802749865,79,0.233492595489742,21,0.18247264606058,79,0.238481697945741,21,0.186375331642354,79,0.236612845741821,21,0.191327023783108,79,0.245633258690695,21,0.195975700150324,79,0.25226171097548,21,0.200958822501697,79,0.257983410975315,21,0.21108098838884,79,0.265991746971515,21,0.215462081586563,79,0.271558924838813,21,0.220008218135048,79,0.277077541446154,21,0.0237065990847844,79,0.0235608234621585,21,0.0235064454419329,79,0.0234368686989111,21,0.0234310019507396,79,0.0233529942312974,21,0.00356071843814479,79,0.00365498992773697,21,0.00352770576098549,79,0.0036301512232575,21,0.00352229299786254,79,0.00359636981352129,21,0.00505673689892807,79,0.0046145243060914,21,0.00491145496383794,79,0.00450243386678109,21,0.00479775863184294,79,0.00440961706189285,21,0.0242693522452149,79,0.0241010865670546,21,0.024104725589694,79,0.024021026050601,21,0.024011916159399,79,0.023939826574545
,20.5,0.197619359025378,79.5,0.254314787187914,20.5,0.202581383520662,79.5,0.252920014350165,20.5,0.200366444714017,79.5,0.257926644141155,20.5,0.178055849100624,79.5,0.233616638251974,20.5,0.182350463010273,79.5,0.238452072319684,20.5,0.186278898241954,79.5,0.236502884180658,20.5,0.191253245720643,79.5,0.245663899862695,20.5,0.195903007813603,79.5,0.252489045634128,20.5,0.200876536287519,79.5,0.25811527867878,20.5,0.21101540971326,79.5,0.266139785390478,20.5,0.215398342627717,79.5,0.271813919769408,20.5,0.219946107009372,79.5,0.277182600324841,20.5,0.0236853335546152,79.5,0.0235684803333192,20.5,0.0235126574612186,79.5,0.0234345822053653,20.5,0.0234242570280838,79.5,0.0233450114139591,20.5,0.0035393191884438,79.5,0.00365330375781396,20.5,0.00350657510191714,79.5,0.00363205524558047,20.5,0.00350961479378571,79.5,0.00359100888801875,20.5,0.00504729428885526,79.5,0.0046152636018754,20.5,0.00491445366910963,79.5,0.00452065977249671,20.5,0.00479194747903085,79.5,0.00440946286608581,20.5,0.0242436996731345,79.5,0.0241017777539768,20.5,0.0241115135761122,79.5,0.024019580566132,20.5,0.0240134698686758,79.5,0.023936243224624
,20.2999992370605,0.197544391966899,79.6999969482422,0.25437342126757,20.2999992370605,0.202548229557967,79.6999969482422,0.252983719304948,20.2999992370605,0.200327063632398,79.6999969482422,0.257961113319009,20.2999992370605,0.178013786116775,79.6999969482422,0.233658141777626,20.2999992370605,0.182302243516091,79.6999969482422,0.238444256344839,20.2999992370605,0.186227174464527,79.6999969482422,0.236456862239019,20.2999992370605,0.191218596861693,79.6999969482422,0.245690147101243,20.2999992370605,0.195870900118792,79.6999969482422,0.252549509791829,20.2999992370605,0.200846400305113,79.6999969482422,0.258145208747289,20.2999992370605,0.210984524061049,79.6999969482422,0.266214400150093,20.2999992370605,0.215373555026588,79.6999969482422,0.271868820105005,20.2999992370605,0.21992899630682,79.6999969482422,0.277226057242881,20.2999992370605,0.0236814000947058,79.6999969482422,0.0235701051706773,20.2999992370605,0.0235181848952922,79.6999969482422,0.0234376482471806,20.2999992370605,0.023419633459532,79.6999969482422,0.0233426602582938,20.2999992370605,0.00353081164971904,79.6999969482422,0.00365658061099935,20.2999992370605,0.00349835489864711,79.6999969482422,0.00363170990617523,20.2999992370605,0.0035027199372511,79.6999969482422,0.00359156879058083,20.2999992370605,0.00503978160559151,79.6999969482422,0.00462027807736269,20.2999992370605,0.00491683241217036,79.6999969482422,0.00452880229514881,20.2999992370605,0.00479334463013813,79.6999969482422,0.00440498568359261,20.2999992370605,0.0242430811756774,79.6999969482422,0.0241026756215173,20.2999992370605,0.0241131219533736,79.6999969482422,0.024022072209361,20.2999992370605,0.0240152756560291,79.6999969482422,0.0239369830687234
